epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2252.75,0.75482,0.45515,0.91009,0.98045,0.97138,0.98355,0.70732,1.02087,0.40573,0.9807,5.11012e-05,5.11012e-05,5.11012e-05
73,2284.02,0.7449,0.45393,0.90781,0.98199,0.97207,0.98433,0.70383,1.02953,0.40921,0.98527,4.93984e-05,4.93984e-05,4.93984e-05
74,2315.2,0.73761,0.45181,0.90652,0.98379,0.9686,0.98319,0.70078,1.0318,0.41133,0.98807,4.76956e-05,4.76956e-05,4.76956e-05
75,2346.51,0.72023,0.4391,0.90296,0.98614,0.97094,0.98377,0.70171,1.01842,0.41174,0.98582,4.59928e-05,4.59928e-05,4.59928e-05
76,2378.12,0.72534,0.44349,0.90677,0.98397,0.9633,0.98387,0.70821,1.01079,0.40806,0.98177,4.429e-05,4.429e-05,4.429e-05
77,2409.75,0.71256,0.43331,0.89589,0.98377,0.96633,0.98301,0.70115,1.03008,0.40678,0.98995,4.25872e-05,4.25872e-05,4.25872e-05
78,2441.06,0.71231,0.43669,0.90375,0.98282,0.96874,0.98291,0.71002,1.00695,0.40275,0.98203,4.08844e-05,4.08844e-05,4.08844e-05
79,2472.35,0.7077,0.43666,0.89506,0.98191,0.97181,0.9835,0.7079,1.00617,0.40342,0.98499,3.91816e-05,3.91816e-05,3.91816e-05
80,2503.38,0.71243,0.44149,0.90083,0.97931,0.97332,0.98271,0.7035,1.01574,0.40438,0.98479,3.74788e-05,3.74788e-05,3.74788e-05
81,2534.47,0.69521,0.42898,0.89802,0.97963,0.97353,0.98483,0.70931,1.01103,0.39967,0.98046,3.5776e-05,3.5776e-05,3.5776e-05
82,2565.53,0.6926,0.42816,0.89734,0.98066,0.9712,0.98485,0.71337,1.00499,0.40205,0.98066,3.40732e-05,3.40732e-05,3.40732e-05
83,2596.68,0.69205,0.42447,0.89631,0.98356,0.96887,0.98457,0.70682,1.03158,0.40605,0.98736,3.23704e-05,3.23704e-05,3.23704e-05
