epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,5917.49,0.59147,0.35849,0.86925,0.98906,0.97362,0.98485,0.71168,1.01215,0.37962,1.00487,8.686e-05,8.686e-05,8.686e-05
127,5964.47,0.58409,0.36325,0.86673,0.99005,0.97755,0.98736,0.71943,0.99327,0.3755,0.99978,8.61789e-05,8.61789e-05,8.61789e-05
128,6011.24,0.57054,0.35246,0.86811,0.98775,0.97446,0.98564,0.71348,1.01708,0.37651,1.00153,8.54978e-05,8.54978e-05,8.54978e-05
129,6058.12,0.56879,0.35355,0.87519,0.98939,0.97351,0.9844,0.70697,1.03462,0.3828,1.0101,8.48166e-05,8.48166e-05,8.48166e-05
130,6104.9,0.57594,0.36943,0.86981,0.9872,0.97293,0.98433,0.71011,1.0353,0.38541,1.00729,8.41355e-05,8.41355e-05,8.41355e-05
131,6151.71,0.5664,0.35563,0.86405,0.98874,0.97645,0.98738,0.71629,1.01338,0.37529,1.00025,8.34544e-05,8.34544e-05,8.34544e-05
132,6198.51,0.56816,0.35648,0.86917,0.98921,0.97587,0.98723,0.71325,1.01016,0.37508,0.99881,8.27733e-05,8.27733e-05,8.27733e-05
133,6245.05,0.5537,0.35069,0.86293,0.98981,0.97837,0.98643,0.71953,1.00253,0.36769,1.00082,8.20922e-05,8.20922e-05,8.20922e-05
134,6291.75,0.5577,0.34467,0.86375,0.9884,0.976,0.98678,0.71812,1.00336,0.37272,0.99813,8.1411e-05,8.1411e-05,8.1411e-05
135,6338.15,0.54939,0.34941,0.86048,0.9889,0.9734,0.98608,0.71705,1.0109,0.37118,1.00472,8.07299e-05,8.07299e-05,8.07299e-05
136,6384.66,0.54882,0.35008,0.86209,0.98965,0.97197,0.98635,0.71186,1.01702,0.38103,1.00089,8.00488e-05,8.00488e-05,8.00488e-05
137,6431.42,0.54724,0.34343,0.8599,0.9876,0.97651,0.98647,0.71568,1.00661,0.374,1.00064,7.93677e-05,7.93677e-05,7.93677e-05
138,6478.31,0.54847,0.34666,0.86181,0.9885,0.97518,0.98656,0.71792,0.99756,0.37186,1.00217,7.86866e-05,7.86866e-05,7.86866e-05
139,6525.19,0.53256,0.34202,0.85446,0.9887,0.97497,0.98469,0.71668,1.00342,0.37836,1.00733,7.80054e-05,7.80054e-05,7.80054e-05
140,6571.97,0.53806,0.34326,0.8551,0.98941,0.97656,0.98591,0.71926,0.98835,0.36773,1.00674,7.73243e-05,7.73243e-05,7.73243e-05
141,6618.8,0.52858,0.33571,0.86059,0.98936,0.97729,0.98511,0.71372,0.9969,0.37186,1.00724,7.66432e-05,7.66432e-05,7.66432e-05
142,6665.53,0.53276,0.34268,0.8603,0.98524,0.97664,0.98429,0.71073,1.00819,0.37389,1.00764,7.59621e-05,7.59621e-05,7.59621e-05
143,6712.33,0.52254,0.33025,0.85376,0.98878,0.97605,0.98592,0.71915,0.98515,0.37295,0.99679,7.5281e-05,7.5281e-05,7.5281e-05
144,6759.22,0.52861,0.32928,0.85738,0.98998,0.97734,0.98663,0.72082,0.9772,0.36756,1.00281,7.45998e-05,7.45998e-05,7.45998e-05
145,6805.87,0.52993,0.33569,0.85542,0.98748,0.97437,0.9861,0.71192,1.01294,0.37827,1.0112,7.39187e-05,7.39187e-05,7.39187e-05
146,6852.59,0.52455,0.3383,0.84947,0.98802,0.97388,0.98547,0.71796,0.99054,0.37278,1.0009,7.32376e-05,7.32376e-05,7.32376e-05
147,6899.29,0.51284,0.32776,0.8498,0.99036,0.97571,0.98603,0.71444,1.002,0.37204,1.01195,7.25565e-05,7.25565e-05,7.25565e-05
148,6945.98,0.51756,0.3298,0.85348,0.98979,0.97621,0.98538,0.71826,1.0034,0.36952,1.00971,7.18754e-05,7.18754e-05,7.18754e-05
149,6992.94,0.52625,0.33344,0.85381,0.99046,0.97693,0.98668,0.72515,0.9884,0.36661,1.00264,7.11942e-05,7.11942e-05,7.11942e-05
150,7039.73,0.50486,0.32438,0.84737,0.99043,0.9776,0.98592,0.72565,0.97478,0.3657,1.00124,7.05131e-05,7.05131e-05,7.05131e-05
151,7086.7,0.5052,0.32221,0.84681,0.98952,0.97633,0.98662,0.71564,1.00721,0.37154,1.007,6.9832e-05,6.9832e-05,6.9832e-05
152,7133.44,0.50679,0.3276,0.8523,0.98881,0.97638,0.9851,0.72359,0.98775,0.36529,1.00472,6.91509e-05,6.91509e-05,6.91509e-05
153,7180.23,0.51105,0.31858,0.8494,0.98931,0.97531,0.98637,0.72139,0.99636,0.37153,1.00805,6.84698e-05,6.84698e-05,6.84698e-05
154,7227.06,0.5033,0.32514,0.84816,0.98843,0.97501,0.98569,0.72281,0.98848,0.37392,1.0049,6.77886e-05,6.77886e-05,6.77886e-05
155,7273.86,0.50166,0.32251,0.8504,0.98972,0.97451,0.98639,0.72396,0.99193,0.36843,1.00742,6.71075e-05,6.71075e-05,6.71075e-05
156,7320.75,0.49297,0.31104,0.84427,0.98989,0.97715,0.98766,0.7232,0.98205,0.36736,1.0041,6.64264e-05,6.64264e-05,6.64264e-05
157,7367.31,0.49214,0.31911,0.84567,0.99056,0.97632,0.9872,0.72248,0.9844,0.36862,1.00286,6.57453e-05,6.57453e-05,6.57453e-05
